ds_dsei;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
LITORAL SUL;35;2007;13544;14157
VILHENA;30;2007;6023;6517
MATO GROSSO DO SUL;20;2007;79186;80598
BAHIA;9;2007;39080;41804
TOCANTINS;29;2007;9381;10053
PERNAMBUCO;23;2007;56849;58991
YANOMAMI;33;2007;19338;19339
ALTO RIO PURUS;5;2007;11057;11471
CEARÁ;10;2007;29720;32105
XAVANTE;31;2007;14851;14860
CUIABÁ;26;2007;7887;8142
MANAUS;17;2007;32614;34250
KAIAPÓ DO PARÁ;13;2007;4343;4352
ALTAMIRA;3;2007;2916;3491
MINAS GERAIS E ESPÍRITO SANTO;11;2007;16558;18146
PORTO VELHO;24;2007;9606;10232
ALAGOAS E SERGIPE;1;2007;16077;18495
ALTO RIO SOLIMÕES;7;2008;56281;56784
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2008;18532;19165
KAIAPÓ DO MATO GROSSO;34;2008;5311;5364
MÉDIO RIO PURUS;21;2008;8567;9303
MARANHÃO;19;2008;34733;35796
VALE DO JAVARI;12;2008;4626;4641
POTIGUARA;25;2008;22610;26645
LESTE DE RORAIMA;15;2008;52995;53898
KAIAPÓ DO PARÁ;13;2008;4566;4575
AMAPÁ E NORTE DO PARÁ;2;2008;9698;9701
PARINTINS;22;2008;11935;12168
ALTO RIO JURUÁ;4;2008;14277;14437
ARAGUAIA;8;2008;4161;4328
GUAMÁ-TOCANTINS;18;2008;18749;19983
RIO TAPAJÓS;27;2008;9327;9531
INTERIOR SUL;36;2008;49425;51377
ALTO RIO NEGRO;6;2008;32509;32956
XINGU;32;2008;5782;5799
LITORAL SUL;35;2008;14058;14677
VILHENA;30;2008;6272;6772
MATO GROSSO DO SUL;20;2008;81671;83092
BAHIA;9;2008;40139;42876
TOCANTINS;29;2008;9834;10510
PERNAMBUCO;23;2008;58125;60289
ALTO RIO PURUS;5;2008;11598;12016
YANOMAMI;33;2008;20235;20236
CEARÁ;10;2008;30402;32803
XAVANTE;31;2008;15579;15588
CUIABÁ;26;2008;8165;8424
MANAUS;17;2008;33799;35465
MINAS GERAIS E ESPÍRITO SANTO;11;2008;17089;18692
ALTAMIRA;3;2008;3043;3633
PORTO VELHO;24;2008;9980;10609
ALAGOAS E SERGIPE;1;2008;16445;18875
ALTO RIO SOLIMÕES;7;2009;58607;59120
LESTE DE RORAIMA;15;2009;55012;55928
